Time: 0.99 min, Glucose Level: 101.109 mg/dL
Time: 996.99 min, Glucose Level: 149.33 mg/dL
Time: 997.99 min, Glucose Level: 149.327 mg/dL
Time: 998.99 min, Glucose Level: 149.325 mg/dL
Time: 999.99 min, Glucose Level: 149.322 mg/dL
Time: 1000.99 min, Glucose Level: 149.319 mg/dL
Time: 1001.99 min, Glucose Level: 149.317 mg/dL
Time: 1002.99 min, Glucose Level: 149.314 mg/dL
Time: 1003.99 min, Glucose Level: 149.312 mg/dL
Time: 1004.99 min, Glucose Level: 149.309 mg/dL
Time: 1005.99 min, Glucose Level: 149.307 mg/dL
Time: 1006.99 min, Glucose Level: 149.304 mg/dL
Time: 1007.99 min, Glucose Level: 149.302 mg/dL
Time: 1008.99 min, Glucose Level: 149.3 mg/dL
Time: 1009.99 min, Glucose Level: 149.297 mg/dL
Time: 1010.99 min, Glucose Level: 149.295 mg/dL
Time: 1011.99 min, Glucose Level: 149.293 mg/dL
Time: 1012.99 min, Glucose Level: 149.29 mg/dL
Time: 1013.99 min, Glucose Level: 149.288 mg/dL
Time: 1014.99 min, Glucose Level: 149.286 mg/dL
Time: 1015.99 min, Glucose Level: 149.284 mg/dL
Time: 1016.99 min, Glucose Level: 149.281 mg/dL
Time: 1017.99 min, Glucose Level: 149.279 mg/dL
Time: 1018.99 min, Glucose Level: 149.277 mg/dL
Time: 1019.99 min, Glucose Level: 149.275 mg/dL
Time: 1020.99 min, Glucose Level: 149.273 mg/dL
Time: 1021.99 min, Glucose Level: 149.27 mg/dL
Time: 1022.99 min, Glucose Level: 149.268 mg/dL
Time: 1023.99 min, Glucose Level: 149.266 mg/dL
Time: 1024.99 min, Glucose Level: 149.264 mg/dL
Time: 1025.99 min, Glucose Level: 149.262 mg/dL
Time: 1026.99 min, Glucose Level: 149.26 mg/dL
Time: 1027.99 min, Glucose Level: 149.258 mg/dL
Time: 1028.99 min, Glucose Level: 149.256 mg/dL
Time: 1029.99 min, Glucose Level: 149.254 mg/dL
Time: 1030.99 min, Glucose Level: 149.252 mg/dL
Time: 1031.99 min, Glucose Level: 149.25 mg/dL
Time: 1032.99 min, Glucose Level: 149.248 mg/dL
Time: 1033.99 min, Glucose Level: 149.246 mg/dL
Time: 1034.99 min, Glucose Level: 149.244 mg/dL
Time: 1035.99 min, Glucose Level: 149.242 mg/dL
Time: 1036.99 min, Glucose Level: 149.24 mg/dL
Time: 1037.99 min, Glucose Level: 149.238 mg/dL
Time: 1038.99 min, Glucose Level: 149.237 mg/dL
Time: 1039.99 min, Glucose Level: 149.235 mg/dL
Time: 1040.99 min, Glucose Level: 149.233 mg/dL
Time: 1041.99 min, Glucose Level: 149.231 mg/dL
Time: 1042.99 min, Glucose Level: 149.229 mg/dL
Time: 1043.99 min, Glucose Level: 149.228 mg/dL
Time: 1044.99 min, Glucose Level: 149.226 mg/dL
Time: 1045.99 min, Glucose Level: 149.224 mg/dL
Time: 1046.99 min, Glucose Level: 149.222 mg/dL
Time: 1047.99 min, Glucose Level: 149.221 mg/dL
Time: 1048.99 min, Glucose Level: 149.219 mg/dL
Time: 1049.99 min, Glucose Level: 149.217 mg/dL
Time: 1050.99 min, Glucose Level: 149.216 mg/dL
Time: 1051.99 min, Glucose Level: 149.214 mg/dL
Time: 1052.99 min, Glucose Level: 149.212 mg/dL
Time: 1053.99 min, Glucose Level: 149.211 mg/dL
Time: 1054.99 min, Glucose Level: 149.209 mg/dL
Time: 1055.99 min, Glucose Level: 149.207 mg/dL
Time: 1056.99 min, Glucose Level: 149.206 mg/dL
Time: 1057.99 min, Glucose Level: 149.204 mg/dL
Time: 1058.99 min, Glucose Level: 149.203 mg/dL
Time: 1059.99 min, Glucose Level: 149.201 mg/dL
Time: 1060.99 min, Glucose Level: 149.2 mg/dL
Time: 1061.99 min, Glucose Level: 149.198 mg/dL
Time: 1062.99 min, Glucose Level: 149.197 mg/dL
Time: 1063.99 min, Glucose Level: 149.195 mg/dL
Time: 1064.99 min, Glucose Level: 149.194 mg/dL
Time: 1065.99 min, Glucose Level: 149.192 mg/dL
Time: 1066.99 min, Glucose Level: 149.191 mg/dL
Time: 1067.99 min, Glucose Level: 149.189 mg/dL
Time: 1068.99 min, Glucose Level: 149.188 mg/dL
Time: 1069.99 min, Glucose Level: 149.186 mg/dL
Time: 1070.99 min, Glucose Level: 149.185 mg/dL
Time: 1071.99 min, Glucose Level: 149.184 mg/dL
Time: 1072.99 min, Glucose Level: 149.182 mg/dL
Time: 1073.99 min, Glucose Level: 149.181 mg/dL
Time: 1074.99 min, Glucose Level: 149.179 mg/dL
Time: 1075.99 min, Glucose Level: 149.178 mg/dL
Time: 1076.99 min, Glucose Level: 149.177 mg/dL
Time: 1077.99 min, Glucose Level: 149.175 mg/dL
Time: 1078.99 min, Glucose Level: 149.174 mg/dL
Time: 1079.99 min, Glucose Level: 149.173 mg/dL
Time: 1080.99 min, Glucose Level: 149.172 mg/dL
Time: 1081.99 min, Glucose Level: 149.17 mg/dL
Time: 1082.99 min, Glucose Level: 149.169 mg/dL
Time: 1083.99 min, Glucose Level: 149.168 mg/dL
Time: 1084.99 min, Glucose Level: 149.166 mg/dL
Time: 1085.99 min, Glucose Level: 149.165 mg/dL
Time: 1086.99 min, Glucose Level: 149.164 mg/dL
Time: 1087.99 min, Glucose Level: 149.163 mg/dL
Time: 1088.99 min, Glucose Level: 149.162 mg/dL
Time: 1089.99 min, Glucose Level: 149.16 mg/dL
Time: 1090.99 min, Glucose Level: 149.159 mg/dL
Time: 1091.99 min, Glucose Level: 149.158 mg/dL
Time: 1092.99 min, Glucose Level: 149.157 mg/dL
Time: 1093.99 min, Glucose Level: 149.156 mg/dL
Time: 1094.99 min, Glucose Level: 149.155 mg/dL
Time: 1095.99 min, Glucose Level: 149.153 mg/dL
Time: 1096.99 min, Glucose Level: 149.152 mg/dL
Time: 1097.99 min, Glucose Level: 149.151 mg/dL
Time: 1098.99 min, Glucose Level: 149.15 mg/dL
Time: 1099.99 min, Glucose Level: 149.149 mg/dL
Time: 1100.99 min, Glucose Level: 149.148 mg/dL
Time: 1101.99 min, Glucose Level: 149.147 mg/dL
Time: 1102.99 min, Glucose Level: 149.146 mg/dL
Time: 1103.99 min, Glucose Level: 149.145 mg/dL
Time: 1104.99 min, Glucose Level: 149.144 mg/dL
Time: 1105.99 min, Glucose Level: 149.143 mg/dL
Time: 1106.99 min, Glucose Level: 149.141 mg/dL
Time: 1107.99 min, Glucose Level: 149.14 mg/dL
Time: 1108.99 min, Glucose Level: 149.139 mg/dL
Time: 1109.99 min, Glucose Level: 149.138 mg/dL
Time: 1110.99 min, Glucose Level: 149.137 mg/dL
Time: 1111.99 min, Glucose Level: 149.136 mg/dL
Time: 1112.99 min, Glucose Level: 149.135 mg/dL
Time: 1113.99 min, Glucose Level: 149.134 mg/dL
Time: 1114.99 min, Glucose Level: 149.134 mg/dL
Time: 1115.99 min, Glucose Level: 149.133 mg/dL
Time: 1116.99 min, Glucose Level: 149.132 mg/dL
Time: 1117.99 min, Glucose Level: 149.131 mg/dL
Time: 1118.99 min, Glucose Level: 149.13 mg/dL
Time: 1119.99 min, Glucose Level: 149.129 mg/dL
Time: 1120.99 min, Glucose Level: 149.128 mg/dL
Time: 1121.99 min, Glucose Level: 149.127 mg/dL
Time: 1122.99 min, Glucose Level: 149.126 mg/dL
Time: 1123.99 min, Glucose Level: 149.125 mg/dL
Time: 1124.99 min, Glucose Level: 149.124 mg/dL
Time: 1125.99 min, Glucose Level: 149.123 mg/dL
Time: 1126.99 min, Glucose Level: 149.123 mg/dL
Time: 1127.99 min, Glucose Level: 149.122 mg/dL
Time: 1128.99 min, Glucose Level: 149.121 mg/dL
Time: 1129.99 min, Glucose Level: 149.12 mg/dL
Time: 1130.99 min, Glucose Level: 149.119 mg/dL
Time: 1131.99 min, Glucose Level: 149.118 mg/dL
Time: 1132.99 min, Glucose Level: 149.117 mg/dL
Time: 1133.99 min, Glucose Level: 149.117 mg/dL
Time: 1134.99 min, Glucose Level: 149.116 mg/dL
Time: 1135.99 min, Glucose Level: 149.115 mg/dL
Time: 1136.99 min, Glucose Level: 149.114 mg/dL
Time: 1137.99 min, Glucose Level: 149.113 mg/dL
Time: 1138.99 min, Glucose Level: 149.113 mg/dL
Time: 1139.99 min, Glucose Level: 149.112 mg/dL
Time: 1140.99 min, Glucose Level: 149.111 mg/dL
Time: 1141.99 min, Glucose Level: 149.11 mg/dL
Time: 1142.99 min, Glucose Level: 149.11 mg/dL
Time: 1143.99 min, Glucose Level: 149.109 mg/dL
Time: 1144.99 min, Glucose Level: 149.108 mg/dL
Time: 1145.99 min, Glucose Level: 149.107 mg/dL
Time: 1146.99 min, Glucose Level: 149.107 mg/dL
Time: 1147.99 min, Glucose Level: 149.106 mg/dL
Time: 1148.99 min, Glucose Level: 149.105 mg/dL
Time: 1149.99 min, Glucose Level: 149.104 mg/dL
Time: 1150.99 min, Glucose Level: 149.104 mg/dL
Time: 1151.99 min, Glucose Level: 149.103 mg/dL
Time: 1152.99 min, Glucose Level: 149.102 mg/dL
Time: 1153.99 min, Glucose Level: 149.102 mg/dL
Time: 1154.99 min, Glucose Level: 149.101 mg/dL
Time: 1155.99 min, Glucose Level: 149.1 mg/dL
Time: 1156.99 min, Glucose Level: 149.1 mg/dL
Time: 1157.99 min, Glucose Level: 149.099 mg/dL
Time: 1158.99 min, Glucose Level: 149.098 mg/dL
Time: 1159.99 min, Glucose Level: 149.098 mg/dL
Time: 1160.99 min, Glucose Level: 149.097 mg/dL
Time: 1161.99 min, Glucose Level: 149.096 mg/dL
Time: 1162.99 min, Glucose Level: 149.096 mg/dL
Time: 1163.99 min, Glucose Level: 149.095 mg/dL
Time: 1164.99 min, Glucose Level: 149.094 mg/dL
Time: 1165.99 min, Glucose Level: 149.094 mg/dL
Time: 1166.99 min, Glucose Level: 149.093 mg/dL
Time: 1167.99 min, Glucose Level: 149.093 mg/dL
Time: 1168.99 min, Glucose Level: 149.092 mg/dL
Time: 1169.99 min, Glucose Level: 149.091 mg/dL
DINNER TIME
Time: 1170.99 min, Glucose Level: 149.091 mg/dL
Time: 1171.99 min, Glucose Level: 149.09 mg/dL
Time: 1172.99 min, Glucose Level: 149.09 mg/dL
Time: 1173.99 min, Glucose Level: 149.09 mg/dL
Time: 1174.99 min, Glucose Level: 149.09 mg/dL
Time: 1175.99 min, Glucose Level: 149.09 mg/dL
Time: 1176.99 min, Glucose Level: 149.09 mg/dL
Time: 1177.99 min, Glucose Level: 149.09 mg/dL
Time: 1178.99 min, Glucose Level: 149.09 mg/dL
Time: 1179.99 min, Glucose Level: 149.091 mg/dL
Time: 1180.99 min, Glucose Level: 149.091 mg/dL
Time: 1181.99 min, Glucose Level: 149.091 mg/dL
Time: 1182.99 min, Glucose Level: 149.092 mg/dL
Time: 1183.99 min, Glucose Level: 149.093 mg/dL
Time: 1184.99 min, Glucose Level: 149.093 mg/dL
Time: 1185.99 min, Glucose Level: 149.094 mg/dL
Time: 1186.99 min, Glucose Level: 149.095 mg/dL
Time: 1187.99 min, Glucose Level: 149.095 mg/dL
Time: 1188.99 min, Glucose Level: 149.096 mg/dL
Time: 1189.99 min, Glucose Level: 149.097 mg/dL
Time: 1190.99 min, Glucose Level: 149.098 mg/dL
Time: 1191.99 min, Glucose Level: 149.099 mg/dL
Time: 1192.99 min, Glucose Level: 149.1 mg/dL
Time: 1193.99 min, Glucose Level: 149.101 mg/dL
Time: 1194.99 min, Glucose Level: 149.102 mg/dL
Time: 1195.99 min, Glucose Level: 149.103 mg/dL
Time: 1196.99 min, Glucose Level: 149.104 mg/dL
Time: 1197.99 min, Glucose Level: 149.105 mg/dL
Time: 1198.99 min, Glucose Level: 149.106 mg/dL
Time: 1199.99 min, Glucose Level: 149.107 mg/dL
Time: 1200.99 min, Glucose Level: 149.108 mg/dL
Time: 1201.99 min, Glucose Level: 149.109 mg/dL
Time: 1202.99 min, Glucose Level: 149.11 mg/dL
Time: 1203.99 min, Glucose Level: 149.111 mg/dL
Time: 1204.99 min, Glucose Level: 149.112 mg/dL
Time: 1205.99 min, Glucose Level: 149.113 mg/dL
Time: 1206.99 min, Glucose Level: 149.114 mg/dL
Time: 1207.99 min, Glucose Level: 149.115 mg/dL
Time: 1208.99 min, Glucose Level: 149.116 mg/dL
Time: 1209.99 min, Glucose Level: 149.117 mg/dL
Time: 1210.99 min, Glucose Level: 149.118 mg/dL
Time: 1211.99 min, Glucose Level: 149.119 mg/dL
Time: 1212.99 min, Glucose Level: 149.12 mg/dL
Time: 1213.99 min, Glucose Level: 149.121 mg/dL
Time: 1214.99 min, Glucose Level: 149.122 mg/dL
Time: 1215.99 min, Glucose Level: 149.123 mg/dL
Time: 1216.99 min, Glucose Level: 149.123 mg/dL
Time: 1217.99 min, Glucose Level: 149.124 mg/dL
Time: 1218.99 min, Glucose Level: 149.125 mg/dL
Time: 1219.99 min, Glucose Level: 149.126 mg/dL
Time: 1220.99 min, Glucose Level: 149.127 mg/dL
Time: 1221.99 min, Glucose Level: 149.128 mg/dL
Time: 1222.99 min, Glucose Level: 149.129 mg/dL
Time: 1223.99 min, Glucose Level: 149.129 mg/dL
Time: 1224.99 min, Glucose Level: 149.13 mg/dL
Time: 1225.99 min, Glucose Level: 149.131 mg/dL
Time: 1226.99 min, Glucose Level: 149.132 mg/dL
Time: 1227.99 min, Glucose Level: 149.133 mg/dL
Time: 1228.99 min, Glucose Level: 149.133 mg/dL
Time: 1229.99 min, Glucose Level: 149.134 mg/dL
Time: 1230.99 min, Glucose Level: 149.135 mg/dL
Time: 1231.99 min, Glucose Level: 149.135 mg/dL
Time: 1232.99 min, Glucose Level: 149.136 mg/dL
Time: 1233.99 min, Glucose Level: 149.137 mg/dL
Time: 1234.99 min, Glucose Level: 149.137 mg/dL
Time: 1235.99 min, Glucose Level: 149.138 mg/dL
Time: 1236.99 min, Glucose Level: 149.138 mg/dL
Time: 1237.99 min, Glucose Level: 149.139 mg/dL
Time: 1238.99 min, Glucose Level: 149.139 mg/dL
Time: 1239.99 min, Glucose Level: 149.14 mg/dL
Time: 1240.99 min, Glucose Level: 149.14 mg/dL
Time: 1241.99 min, Glucose Level: 149.141 mg/dL
Time: 1242.99 min, Glucose Level: 149.141 mg/dL
Time: 1243.99 min, Glucose Level: 149.142 mg/dL
Time: 1244.99 min, Glucose Level: 149.142 mg/dL
Time: 1245.99 min, Glucose Level: 149.142 mg/dL
Time: 1246.99 min, Glucose Level: 149.143 mg/dL
Time: 1247.99 min, Glucose Level: 149.143 mg/dL
Time: 1248.99 min, Glucose Level: 149.143 mg/dL
Time: 1249.99 min, Glucose Level: 149.144 mg/dL
Time: 1250.99 min, Glucose Level: 149.144 mg/dL
Time: 1251.99 min, Glucose Level: 149.144 mg/dL
Time: 1252.99 min, Glucose Level: 149.144 mg/dL
Time: 1253.99 min, Glucose Level: 149.145 mg/dL
Time: 1254.99 min, Glucose Level: 149.145 mg/dL
Time: 1255.99 min, Glucose Level: 149.145 mg/dL
Time: 1256.99 min, Glucose Level: 149.145 mg/dL
Time: 1257.99 min, Glucose Level: 149.145 mg/dL
Time: 1258.99 min, Glucose Level: 149.146 mg/dL
Time: 1259.99 min, Glucose Level: 149.146 mg/dL
Time: 1260.99 min, Glucose Level: 149.146 mg/dL
Time: 1261.99 min, Glucose Level: 149.146 mg/dL
Time: 1262.99 min, Glucose Level: 149.146 mg/dL
Time: 1263.99 min, Glucose Level: 149.146 mg/dL
Time: 1264.99 min, Glucose Level: 149.146 mg/dL
Time: 1265.99 min, Glucose Level: 149.146 mg/dL
Time: 1266.99 min, Glucose Level: 149.146 mg/dL
Time: 1267.99 min, Glucose Level: 149.146 mg/dL
Time: 1268.99 min, Glucose Level: 149.146 mg/dL
Time: 1269.99 min, Glucose Level: 149.146 mg/dL
Time: 1270.99 min, Glucose Level: 149.146 mg/dL
Time: 1271.99 min, Glucose Level: 149.146 mg/dL
Time: 1272.99 min, Glucose Level: 149.146 mg/dL
Time: 1273.99 min, Glucose Level: 149.145 mg/dL
Time: 1274.99 min, Glucose Level: 149.145 mg/dL
Time: 1275.99 min, Glucose Level: 149.145 mg/dL
Time: 1276.99 min, Glucose Level: 149.145 mg/dL
Time: 1277.99 min, Glucose Level: 149.145 mg/dL
Time: 1278.99 min, Glucose Level: 149.145 mg/dL
Time: 1279.99 min, Glucose Level: 149.145 mg/dL
Time: 1280.99 min, Glucose Level: 149.144 mg/dL
Time: 1281.99 min, Glucose Level: 149.144 mg/dL
Time: 1282.99 min, Glucose Level: 149.144 mg/dL
Time: 1283.99 min, Glucose Level: 149.144 mg/dL
Time: 1284.99 min, Glucose Level: 149.143 mg/dL
Time: 1285.99 min, Glucose Level: 149.143 mg/dL
Time: 1286.99 min, Glucose Level: 149.143 mg/dL
Time: 1287.99 min, Glucose Level: 149.143 mg/dL
Time: 1288.99 min, Glucose Level: 149.142 mg/dL
Time: 1289.99 min, Glucose Level: 149.142 mg/dL
Time: 1290.99 min, Glucose Level: 149.142 mg/dL
Time: 1291.99 min, Glucose Level: 149.141 mg/dL
Time: 1292.99 min, Glucose Level: 149.141 mg/dL
Time: 1293.99 min, Glucose Level: 149.141 mg/dL
Time: 1294.99 min, Glucose Level: 149.14 mg/dL
Time: 1295.99 min, Glucose Level: 149.14 mg/dL
Time: 1296.99 min, Glucose Level: 149.14 mg/dL
Time: 1297.99 min, Glucose Level: 149.139 mg/dL
Time: 1298.99 min, Glucose Level: 149.139 mg/dL
Time: 1299.99 min, Glucose Level: 149.139 mg/dL
Time: 1300.99 min, Glucose Level: 149.138 mg/dL
Time: 1301.99 min, Glucose Level: 149.138 mg/dL
Time: 1302.99 min, Glucose Level: 149.137 mg/dL
Time: 1303.99 min, Glucose Level: 149.137 mg/dL
Time: 1304.99 min, Glucose Level: 149.137 mg/dL
Time: 1305.99 min, Glucose Level: 149.136 mg/dL
Time: 1306.99 min, Glucose Level: 149.136 mg/dL
Time: 1307.99 min, Glucose Level: 149.135 mg/dL
Time: 1308.99 min, Glucose Level: 149.135 mg/dL
Time: 1309.99 min, Glucose Level: 149.134 mg/dL
Time: 1310.99 min, Glucose Level: 149.134 mg/dL
Time: 1311.99 min, Glucose Level: 149.133 mg/dL
Time: 1312.99 min, Glucose Level: 149.133 mg/dL
Time: 1313.99 min, Glucose Level: 149.132 mg/dL
Time: 1314.99 min, Glucose Level: 149.132 mg/dL
Time: 1315.99 min, Glucose Level: 149.132 mg/dL
Time: 1316.99 min, Glucose Level: 149.131 mg/dL
Time: 1317.99 min, Glucose Level: 149.131 mg/dL
Time: 1318.99 min, Glucose Level: 149.13 mg/dL
Time: 1319.99 min, Glucose Level: 149.13 mg/dL
Time: 1320.99 min, Glucose Level: 149.129 mg/dL
Time: 1321.99 min, Glucose Level: 149.129 mg/dL
Time: 1322.99 min, Glucose Level: 149.128 mg/dL
Time: 1323.99 min, Glucose Level: 149.128 mg/dL
Time: 1324.99 min, Glucose Level: 149.127 mg/dL
Time: 1325.99 min, Glucose Level: 149.126 mg/dL
Time: 1326.99 min, Glucose Level: 149.126 mg/dL
Time: 1327.99 min, Glucose Level: 149.125 mg/dL
Time: 1328.99 min, Glucose Level: 149.125 mg/dL
Time: 1329.99 min, Glucose Level: 149.124 mg/dL
Time: 1330.99 min, Glucose Level: 149.124 mg/dL
Time: 1331.99 min, Glucose Level: 149.123 mg/dL
Time: 1332.99 min, Glucose Level: 149.123 mg/dL
Time: 1333.99 min, Glucose Level: 149.122 mg/dL
Time: 1334.99 min, Glucose Level: 149.122 mg/dL
Time: 1335.99 min, Glucose Level: 149.121 mg/dL
Time: 1336.99 min, Glucose Level: 149.121 mg/dL
Time: 1337.99 min, Glucose Level: 149.12 mg/dL
Time: 1338.99 min, Glucose Level: 149.12 mg/dL
Time: 1339.99 min, Glucose Level: 149.119 mg/dL
Time: 1340.99 min, Glucose Level: 149.118 mg/dL
Time: 1341.99 min, Glucose Level: 149.118 mg/dL
Time: 1342.99 min, Glucose Level: 149.117 mg/dL
Time: 1343.99 min, Glucose Level: 149.117 mg/dL
Time: 1344.99 min, Glucose Level: 149.116 mg/dL
Time: 1345.99 min, Glucose Level: 149.116 mg/dL
Time: 1346.99 min, Glucose Level: 149.115 mg/dL
Time: 1347.99 min, Glucose Level: 149.115 mg/dL
Time: 1348.99 min, Glucose Level: 149.114 mg/dL
Time: 1349.99 min, Glucose Level: 149.113 mg/dL
Time: 1350.99 min, Glucose Level: 149.113 mg/dL
Time: 1351.99 min, Glucose Level: 149.112 mg/dL
Time: 1352.99 min, Glucose Level: 149.111 mg/dL
Time: 1353.99 min, Glucose Level: 149.11 mg/dL
Time: 1354.99 min, Glucose Level: 149.11 mg/dL
Time: 1355.99 min, Glucose Level: 149.109 mg/dL
Time: 1356.99 min, Glucose Level: 149.108 mg/dL
Time: 1357.99 min, Glucose Level: 149.107 mg/dL
Time: 1358.99 min, Glucose Level: 149.106 mg/dL
Time: 1359.99 min, Glucose Level: 149.106 mg/dL
Time: 1360.99 min, Glucose Level: 149.105 mg/dL
Time: 1361.99 min, Glucose Level: 149.104 mg/dL
Time: 1362.99 min, Glucose Level: 149.104 mg/dL
Time: 1363.99 min, Glucose Level: 149.103 mg/dL
Time: 1364.99 min, Glucose Level: 149.102 mg/dL
Time: 1365.99 min, Glucose Level: 149.101 mg/dL
Time: 1366.99 min, Glucose Level: 149.101 mg/dL
Time: 1367.99 min, Glucose Level: 149.1 mg/dL
Time: 1368.99 min, Glucose Level: 149.099 mg/dL
Time: 1369.99 min, Glucose Level: 149.099 mg/dL
Time: 1370.99 min, Glucose Level: 149.098 mg/dL
Time: 1371.99 min, Glucose Level: 149.097 mg/dL
Time: 1372.99 min, Glucose Level: 149.097 mg/dL
Time: 1373.99 min, Glucose Level: 149.096 mg/dL
Time: 1374.99 min, Glucose Level: 149.095 mg/dL
Time: 1375.99 min, Glucose Level: 149.095 mg/dL
Time: 1376.99 min, Glucose Level: 149.094 mg/dL
Time: 1377.99 min, Glucose Level: 149.093 mg/dL
Time: 1378.99 min, Glucose Level: 149.093 mg/dL
Time: 1379.99 min, Glucose Level: 149.092 mg/dL
Time: 1380.99 min, Glucose Level: 149.091 mg/dL
Time: 1381.99 min, Glucose Level: 149.091 mg/dL
Time: 1382.99 min, Glucose Level: 149.09 mg/dL
Time: 1383.99 min, Glucose Level: 149.09 mg/dL
Time: 1384.99 min, Glucose Level: 149.089 mg/dL
Time: 1385.99 min, Glucose Level: 149.088 mg/dL
Time: 1386.99 min, Glucose Level: 149.088 mg/dL
Time: 1387.99 min, Glucose Level: 149.087 mg/dL
Time: 1388.99 min, Glucose Level: 149.087 mg/dL
Time: 1389.99 min, Glucose Level: 149.086 mg/dL
Time: 1390.99 min, Glucose Level: 149.086 mg/dL
Time: 1391.99 min, Glucose Level: 149.085 mg/dL
Time: 1392.99 min, Glucose Level: 149.084 mg/dL
Time: 1393.99 min, Glucose Level: 149.084 mg/dL
Time: 1394.99 min, Glucose Level: 149.083 mg/dL
Time: 1395.99 min, Glucose Level: 149.083 mg/dL
Time: 1396.99 min, Glucose Level: 149.082 mg/dL
Time: 1397.99 min, Glucose Level: 149.082 mg/dL
Time: 1398.99 min, Glucose Level: 149.081 mg/dL
Time: 1399.99 min, Glucose Level: 149.081 mg/dL
Time: 1400.99 min, Glucose Level: 149.08 mg/dL
Time: 1401.99 min, Glucose Level: 149.08 mg/dL
Time: 1402.99 min, Glucose Level: 149.079 mg/dL
Time: 1403.99 min, Glucose Level: 149.079 mg/dL
Time: 1404.99 min, Glucose Level: 149.078 mg/dL
Time: 1405.99 min, Glucose Level: 149.078 mg/dL
Time: 1406.99 min, Glucose Level: 149.077 mg/dL
Time: 1407.99 min, Glucose Level: 149.077 mg/dL
Time: 1408.99 min, Glucose Level: 149.076 mg/dL
Time: 1409.99 min, Glucose Level: 149.076 mg/dL
Time: 1410.99 min, Glucose Level: 149.075 mg/dL
Time: 1411.99 min, Glucose Level: 149.075 mg/dL
Time: 1412.99 min, Glucose Level: 149.074 mg/dL
Time: 1413.99 min, Glucose Level: 149.074 mg/dL
Time: 1414.99 min, Glucose Level: 149.073 mg/dL
Time: 1415.99 min, Glucose Level: 149.073 mg/dL
Time: 1416.99 min, Glucose Level: 149.072 mg/dL
Time: 1417.99 min, Glucose Level: 149.072 mg/dL
Time: 1418.99 min, Glucose Level: 149.072 mg/dL
Time: 1419.99 min, Glucose Level: 149.071 mg/dL
Time: 1420.99 min, Glucose Level: 149.071 mg/dL
Time: 1421.99 min, Glucose Level: 149.07 mg/dL
Time: 1422.99 min, Glucose Level: 149.07 mg/dL
Time: 1423.99 min, Glucose Level: 149.069 mg/dL
Time: 1424.99 min, Glucose Level: 149.069 mg/dL
Time: 1425.99 min, Glucose Level: 149.069 mg/dL
Time: 1426.99 min, Glucose Level: 149.068 mg/dL
Time: 1427.99 min, Glucose Level: 149.068 mg/dL
Time: 1428.99 min, Glucose Level: 149.067 mg/dL
Time: 1429.99 min, Glucose Level: 149.067 mg/dL
Time: 1430.99 min, Glucose Level: 149.067 mg/dL
Time: 1431.99 min, Glucose Level: 149.066 mg/dL
Time: 1432.99 min, Glucose Level: 149.066 mg/dL
Time: 1433.99 min, Glucose Level: 149.065 mg/dL
Time: 1434.99 min, Glucose Level: 149.065 mg/dL
Time: 1435.99 min, Glucose Level: 149.065 mg/dL
Time: 1436.99 min, Glucose Level: 149.064 mg/dL
Time: 1437.99 min, Glucose Level: 149.064 mg/dL
Time: 1438.99 min, Glucose Level: 149.064 mg/dL
Time: 1439.99 min, Glucose Level: 149.063 mg/dL
